dataset_id,table_id,column_name,column_label,column_description,column_role,value_type,term_iri,property_iri,entity_iri,unit_iri,constraint_iri,method_iri,required
spsr,pfma_year,ocean_age_3,Ocean Age 3,Catch at Ocean Age 3,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age3YearClass;https://w3id.org/gcdfo/salmon#OceanPhase,,
spsr,pfma_year,ocean_age_4,Ocean Age 4,Catch at Ocean Age 4,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age4YearClass;https://w3id.org/gcdfo/salmon#OceanPhase,,
spsr,pfma_year,ocean_age_5,Ocean Age 5,Catch at Ocean Age 5,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age5YearClass;https://w3id.org/gcdfo/salmon#OceanPhase,,
spsr,pfma_year,ocean_age_6,Ocean Age 6,Catch at Ocean Age 6,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age6YearClass;https://w3id.org/gcdfo/salmon#OceanPhase,,
spsr,pfma_year,ocean_age_7,Ocean Age 7,Catch at Ocean Age 7,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age7YearClass;https://w3id.org/gcdfo/salmon#OceanPhase,,
spsr,pfma_year,terminal_catch,Terminal Catch,Terminal Catch,measurement,number,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#TerminalPhase;https://w3id.org/gcdfo/salmon#CatchContext,,
spsr,pfma_year,terminal_age_1,Terminal Age 1,Catch at Terminal Age 1,measurement,number,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age1YearClass;https://w3id.org/gcdfo/salmon#TerminalPhase,,
spsr,pfma_year,terminal_age_2,Terminal Age 2,Catch at Terminal Age 2,measurement,number,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age2YearClass;https://w3id.org/gcdfo/salmon#TerminalPhase,,
spsr,pfma_year,terminal_age_3,Terminal Age 3,Catch at Terminal Age 3,measurement,number,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age3YearClass;https://w3id.org/gcdfo/salmon#TerminalPhase,,
spsr,pfma_year,terminal_age_4,Terminal Age 4,Catch at Terminal Age 4,measurement,number,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age4YearClass;https://w3id.org/gcdfo/salmon#TerminalPhase,,
spsr,pfma_year,terminal_age_5,Terminal Age 5,Catch at Terminal Age 5,measurement,number,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age5YearClass;https://w3id.org/gcdfo/salmon#TerminalPhase,,
spsr,pfma_year,terminal_age_6,Terminal Age 6,Catch at Terminal Age 6,measurement,number,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age6YearClass;https://w3id.org/gcdfo/salmon#TerminalPhase,,
spsr,pfma_year,terminal_age_7,Terminal Age 7,Catch at Terminal Age 7,measurement,number,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age7YearClass;https://w3id.org/gcdfo/salmon#TerminalPhase,,
spsr,pfma_year,mainstem_age_1,Mainstem Age 1,Catch at Mainstem Age 1,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age1YearClass;https://w3id.org/gcdfo/salmon#MainstemPhase,,
spsr,pfma_year,mainstem_age_2,Mainstem Age 2,Catch at Mainstem Age 2,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age2YearClass;https://w3id.org/gcdfo/salmon#MainstemPhase,,
spsr,pfma_year,mainstem_age_3,Mainstem Age 3,Catch at Mainstem Age 3,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age3YearClass;https://w3id.org/gcdfo/salmon#MainstemPhase,,
spsr,pfma_year,mainstem_age_4,Mainstem Age 4,Catch at Mainstem Age 4,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age4YearClass;https://w3id.org/gcdfo/salmon#MainstemPhase,,
spsr,pfma_year,mainstem_age_5,Mainstem Age 5,Catch at Mainstem Age 5,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age5YearClass;https://w3id.org/gcdfo/salmon#MainstemPhase,,
spsr,pfma_year,mainstem_age_6,Mainstem Age 6,Catch at Mainstem Age 6,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age6YearClass;https://w3id.org/gcdfo/salmon#MainstemPhase,,
spsr,pfma_year,mainstem_age_7,Mainstem Age 7,Catch at Mainstem Age 7,measurement,integer,http://rs.tdwg.org/dwc/terms/individualCount,http://qudt.org/vocab/quantitykind/Count,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/NUM,https://w3id.org/gcdfo/salmon#Age7YearClass;https://w3id.org/gcdfo/salmon#MainstemPhase,,
spsr,pfma_year,er,ER,Exploitation Rate,measurement,number,https://w3id.org/gcdfo/salmon#ExploitationRate,http://qudt.org/vocab/quantitykind/DimensionlessRatio,https://w3id.org/gcdfo/salmon#Stock,http://qudt.org/vocab/unit/UNITLESS,https://w3id.org/gcdfo/salmon#CatchContext,,
spsr,cu_metadata,cu_id,CU ID,Alphanumeric ID number for conservation unit (CU) demographic unit. An official list of CU ID's and corresponding names can be found in the SMU/CU crosswalk in NuSEDS.,identifier,string,,,https://w3id.org/gcdfo/salmon#ConservationUnit,,,,
spsr,cu_metadata,id,ID,Auto-generated unique identifier for the record.,identifier,string,,,https://w3id.org/gcdfo/salmon#ConservationUnit,,,,
spsr,cu_metadata,cu_name,CU Name,The official CU name from the SMU/CU crosswalk,attribute,string,,,https://w3id.org/gcdfo/salmon#ConservationUnit,,,,
spsr,cu_metadata,smu_id,SMU_ID,Alphanumeric ID number for stock management unit (SMU) to which this CU belongs.,identifier,string,,,https://w3id.org/gcdfo/salmon#ConservationUnit,,,,
spsr,cu_metadata,life_history_type,Life History Type,Describes the life cycle patterns of the salmon,attribute,string,,,https://w3id.org/gcdfo/salmon#ConservationUnit,,,,
spsr,cu_metadata,cu_type,CU Type,There are currently nine Conservation Unit (CU) groupings for Pacific salmon.,attribute,string,,,https://w3id.org/gcdfo/salmon#ConservationUnit,,,,
spsr,cu_metadata,dfo_area,DFO Area,"The DFO (Fisheries and Oceans Canada) area that the unit resides in, either South Coast, North Coast, Fraser and Interior, Yukon Transboundary.",attribute,string,,,https://w3id.org/gcdfo/salmon#ConservationUnit,,,,
spsr,cu_metadata,lrp,Limit Reference Point,The limit reference point (LRP) represents the lower bound below which the stock is considered to have suffered serious harm.,attribute,string,,,https://w3id.org/gcdfo/salmon#ConservationUnit,,,,
spsr,cu_metadata,usr,Upper Stock Reference,"The upper stock reference (USR) is to serves as an upper stock status threshold, signaling when management actions should be taken to reduce harvest.",attribute,string,,,https://w3id.org/gcdfo/salmon#ConservationUnit,,,,
